state,zip3_prefix,locality_factor,base_cost_per_sqft,evidence_id,notes
CA,900,1.42,295,RCV-CA-900-2026,Los Angeles area; high labor and materials index
CA,902,1.44,298,RCV-CA-902-2026,Beverly Hills / Westside
CA,904,1.40,289,RCV-CA-904-2026,South LA basin
CA,917,1.32,272,RCV-CA-917-2026,San Gabriel Valley
CA,920,1.28,268,RCV-CA-920-2026,San Diego inland
CA,921,1.30,272,RCV-CA-921-2026,San Diego coastal
CA,945,1.55,318,RCV-CA-945-2026,Bay Area peninsula; highest CA rebuild cost
FL,331,1.18,238,RCV-FL-331-2026,Miami-Dade urban
FL,330,1.20,242,RCV-FL-330-2026,Miami coastal
FL,333,1.16,235,RCV-FL-333-2026,Broward
FL,334,1.14,232,RCV-FL-334-2026,Palm Beach
FL,326,1.10,225,RCV-FL-326-2026,Jacksonville
FL,336,1.13,229,RCV-FL-336-2026,Tampa
DEFAULT,DEFAULT,1.00,210,RCV-DEFAULT-2026,National median fallback for unknown zip
